Glucose_mg_dL,S11_freq_2_2_4_GHz,S11_dB_2_2_4,S11_freq_5_5_3_GHz,S11_dB_5_5_3
0,2.2295,-6.5287,5.1845,-13.4372
50,2.19,-6.7532,5.1875,-13.582
100,2.1885,-6.7434,5.188,-13.5699
150,2.2016,-6.6655,5.2076,-13.4499
200,2.2005,-6.6666,5.208,-13.4574
250,2.1995,-6.6601,5.208,-13.439
350,2.188,-6.2267,5.191,-13.9762
400,2.1845,-6.761,5.1885,-13.7075
130,2.200180424,-6.642304581,5.188423837,-13.4618353
262,2.218099798,-6.682190929,5.198308742,-13.43334906
49,2.188072961,-6.749860891,5.191203744,-13.57617989
368,2.188577931,-6.220427301,5.184349197,-13.952954
43,2.18517931,-6.743414943,5.192202404,-13.55316266
266,2.200864083,-6.656084034,5.197513206,-13.44205684
-17,2.226743532,-6.515933215,5.200418485,-13.45089806
339,2.194062762,-6.227323625,5.184974347,-13.97857067
367,2.181961686,-6.20919006,5.192115834,-13.9793603
403,2.191929089,-6.760132505,5.187069891,-13.7142909
262,2.214615103,-6.653577434,5.202475335,-13.42449248
132,2.211892067,-6.676445064,5.205350868,-13.44792805
180,2.193205057,-6.650979526,5.211454405,-13.45470501
90,2.196502799,-6.74997844,5.180892509,-13.56493244
-10,2.229723437,-6.520393133,5.19833886,-13.43933784
-11,2.235398017,-6.537668171,5.191196109,-13.45902184
210,2.206342555,-6.658652655,5.200802528,-13.47329717
208,2.202431069,-6.675528904,5.205998326,-13.45400576
250,2.203960548,-6.66378468,5.214517472,-13.43928219
183,2.193510246,-6.638470572,5.200102965,-13.44638001
134,2.198065687,-6.664337945,5.205129105,-13.43247613
235,2.186209671,-6.661512533,5.213128944,-13.4253311
134,2.190928132,-6.659424719,5.204571179,-13.45428519
404,2.194615706,-6.739666711,5.197006299,-13.71805251
363,2.191174088,-6.216947002,5.193891236,-13.98152546
350,2.202381205,-6.215222541,5.192850894,-13.97547985
148,2.203406361,-6.670602576,5.225191676,-13.45797889
-18,2.220697247,-6.51471262,5.20197795,-13.43003746
116,2.198627301,-6.75357809,5.195866694,-13.57097201
7,2.233471311,-6.535122413,5.186435682,-13.43136086
115,2.205338423,-6.736259351,5.195247995,-13.56701304
213,2.186795169,-6.677871958,5.212554484,-13.4475794
166,2.223910165,-6.660580935,5.220427771,-13.4762449
-12,2.229168882,-6.506040684,5.187190469,-13.43130583
235,2.208715551,-6.652617624,5.199629302,-13.44691003
393,2.183720377,-6.743024141,5.197914024,-13.6937285
154,2.191548771,-6.666146456,5.197268888,-13.44444052
140,2.206962333,-6.648479965,5.199227122,-13.45422511
181,2.181891248,-6.654999568,5.20784768,-13.44908154
238,2.189921485,-6.652448217,5.200227768,-13.43434447
51,2.193125092,-6.765173782,5.178646962,-13.57159453
134,2.222382596,-6.65633554,5.208344129,-13.44761959
194,2.202064291,-6.668781485,5.208750039,-13.45921157
39,2.175540182,-6.750014418,5.20891224,-13.58465075
216,2.202228515,-6.667873594,5.204853448,-13.46873259
240,2.206867611,-6.642578732,5.194083441,-13.45117537
209,2.197629976,-6.668933043,5.198083748,-13.45595186
385,2.200505852,-6.759878794,5.177976607,-13.70214646
196,2.207427671,-6.666750628,5.190039758,-13.43796031
87,2.18043622,-6.767658002,5.189945622,-13.57752624